Album,Artist,Song,Popularity
No Money,Galantis,No Money,97
Blurryface,Twenty One Pilots,Stressed Out,96
Lukas Graham,Lukas Graham,7 Years,95
us,gnash/Olivia O'Brien,"i hate u, i love u (feat. olivia o'brien)",95
MY HOUSE,Flo Rida,My House,93
Gold,Kiiara,Gold,83
Peace Is The Mission: Extended,Major Lazer/Nyla,Light It Up (feat. Nyla & Fuse ODG) - Remix,90
A Head Full Of Dreams,Coldplay,Hymn For The Weekend,93
If It Ain't Love,Jason Derulo,If It Ain't Love,92
Listen Again,David Guetta/Sia/Fetty Wap,Bang My Head (feat. Sia & Fetty Wap),90
Blurryface,Twenty One Pilots,Ride,91
This One's For You (feat. Zara Larsson) [Official Song UEFA EURO 2016],David Guetta/Zara Larsson,This One's For You (feat. Zara Larsson) - Official Song UEFA EURO 2016,90
Adventure Of A Lifetime,Coldplay,Adventure Of A Lifetime,75
Girls Like (feat. Zara Larsson),Tinie Tempah/Zara Larsson,Girls Like (feat. Zara Larsson),89
Sugar (feat. Francesco Yates),Robin Schulz/Francesco Yates,Sugar (feat. Francesco Yates),78
Peace Is The Mission,Major Lazer/MØ	/DJ Snake,Lean On (feat. MØ & DJ Snake),84
x (Deluxe Edition),Ed Sheeran,Photograph,88
One Call Away,Charlie Puth,One Call Away,80
Cry Baby (Deluxe),Melanie Martinez,Pity Party,86
x (Deluxe Edition),Ed Sheeran,Thinking Out Loud,86
Skrillex and Diplo present Jack Ü,Jack Ü/Skrillex/Diplo/Justin Bieber,Where Are Ü Now (with Justin Bieber),86
Islah (Deluxe),Kevin Gates,2 Phones,85
No Broken Hearts (feat. Nicki Minaj),Bebe Rexha/Nicki Minaj,No Broken Hearts (feat. Nicki Minaj),85
Running Out,Matoma/Astrid S,Running Out,86
Golden Light (feat. 6AM),Madden/6AM,Golden Light - feat. 6AM,85
Dark Necessities,Red Hot Chili Peppers,Dark Necessities,80
Nine Track Mind,Charlie Puth/Selena Gomez,We Don't Talk Anymore (feat. Selena Gomez),83
Bored To Death,blink-182,Bored To Death,78
Come and See Me (feat. Drake),PARTYNEXTDOOR/Drake,Come and See Me (feat. Drake),71
Furious 7: Original Motion Picture Soundtrack,Wiz Khalifa/Charlie Puth,See You Again (feat. Charlie Puth),84
Fetty Wap (Deluxe),Fetty Wap,Trap Queen,62
Uber Everywhere,Madeintyo,Uber Everywhere,85
We The Generation,Rudimental/Ed Sheeran,Lay It All On Me (feat. Ed Sheeran),78
Everything Is 4,Jason Derulo,Want To Want Me,84
If I'm Honest,Blake Shelton,Came Here to Forget,67
Keeping Your Head Up,Birdy,Keeping Your Head Up,73
Free TC,Ty Dolla $ign/E-40,Saved (feat. E-40),80
Some Type Of Love,Charlie Puth/Meghan Trainor,Marvin Gaye (feat. Meghan Trainor),78
Runaway (U & I),Galantis,Runaway (U & I),74
Bake Sale (feat. Travis Scott),Wiz Khalifa/Travi$ Scott,Bake Sale (feat. Travis Scott),76
Fetty Wap (Deluxe),Fetty Wap,Again,54
MY HOUSE,Flo Rida/Robin Thicke/Verdine White,"I Don't Like It, I Love It (feat. Robin Thicke & Verdine White)",80
This Unruly Mess I've Made,Macklemore & Ryan Lewis/Idris Elba/Anderson Paak,Dance Off (feat. Idris Elba & Anderson .Paak),70
MY HOUSE,Flo Rida/Sage The Gemini/Lookas,GDFR (feat. Sage The Gemini & Lookas),76
Tears (feat. Louisa Johnson),Clean Bandit/Louisa Johnson,Tears (feat. Louisa Johnson),81
Lukas Graham,Lukas Graham,Mama Said,78
Ghost Town,Adam Lambert,Ghost Town,64
Dreams Worth More Than Money,Meek Mill/Nicki Minaj,All Eyes On You (feat. Chris Brown & Nicki Minaj),77
Don't Be So Hard On Yourself,Jess Glynne,Don't Be So Hard On Yourself,68
Dream Your Life Away,Vance Joy,Riptide,73
