Album,Artist,Song,Popularity
3Fs (Ao Vivo),Projota/Anitta,Faz Parte - Ao Vivo,55
Pretinha Vou Te Confessar (Remix Trap Funk),Nego do Borel,Pretinha Vou Te Confessar (Remix Trap Funk),57
Melhor Assim (Participação Especial de Ludmilla),Biel/Ludmilla,Melhor Assim - feat. Ludmilla,68
Outro Sim,Fernanda Abreu,Outro Sim,50
The Life and Death of Beeshop,Beeshop,We Dance Like Idiots,44
Me Espera,Sandy/Tiago Iorc,Me Espera,62
Um Dia Pra Não Se Esquecer (Sunrise),Jota Quest/Projota,Um Dia Pra Não Se Esquecer (Sunrise),51
Não Roba Minha Brisa,Mc Guime,Não Roba Minha Brisa,56
Vai Começar A Ousadia,Mc Gui,Vai Começar A Ousadia,57
Ela Só Quer Paz,Projota,Ela Só Quer Paz,74
Odisseia Cotidiana,Evora,A Calçada,48
Leandro Buenno,Leandro Buenno,Essa Noite,46
Bang,Anitta/Jhama,Essa Mina É Louca - Participação Especial de Jhama,72
Vamo Além,Lucas e Orelha,Vamo Além,46
Sigo de Volta - EP,Tiago Iorc,Amor Sem Onde,56
Quimica,Biel,Quimica,72
Sou Fatal,Sophia Abrahão,Sou Fatal,45
Amor (Na Sua Versão Mais Pura),Fiuk,Amor (Na Sua Versão Mais Pura),44
Lampejo,Samuel Rosa/Lô Borges,Lampejo - Bonus Track,27
Problema Meu,Clarice Falcão,Irônico,52
Volume III,Fly,Ela Se Acha,45
Nego Resolve,Nego do Borel,Não Me Deixe Sozinho,66
Aventura,Luiza Possi,Aventura,44
O Carnaval De Ivete Sangalo - Sai Do Chão (Ao Vivo),Ivete Sangalo,O Farol,52
Blecaute,Jota Quest/Anitta/Nile Rodgers,Blecaute,56
VENENO,Banda Uó/Karol Conka,Dá1like,49
Vício,Manu Gavassi,Vício,52
Lista Vip (feat Karol Conká) [Single],Boss in Drama/Karol Conka,Lista Vip (feat Karol Conká),54
Eu Faço Assim,Nikki,Eu Faço Assim,46
De Brim,Tiago Abravanel,De Brim,44
Funk Pop,Buchecha/Herbert Vianna,Só Love - Participação Especial de Paralamas do Sucesso,22
Shiver Down My Spine,Claudia Leitte,Shiver Down My Spine,45
Tempo Certo (Ao Vivo em Campo Grande),Henrique & Diego/Mc Guime,Suíte 14 - Ao Vivo,70
Vivendo de Amor Ao Vivo (Deluxe Edition),Melanina Carioca/Mika Borges,Deixa Se Envolver - Ao Vivo,49
Survivor (Single),Clarice Falcão,Survivor,64
Troco Likes,Tiago Iorc,Alexandria,60
Bang,Anitta,Bang,62
Partiu Furdúncio - Single,MC Koringa,Partiu Furdúncio,54
Vou Desafiar Você,Mc Sapao,Vou Desafiar Você,63
Se Produz,Dennis DJ/Lucas Lucco,Se Produz - Baile Funk,50
29,Ivo Mozart,Quer um Beijo Meu?,54
Passarinhos,Emicida/Vanessa Da Mata,Passarinhos,21
Esmeraldas,Tiê,A Noite,42
Toca Lulu,Lulu Santos,Apenas Mais uma de Amor,60
Pitanga,Mallu Magalhães,Velha e Louca,54
#1 Hits,Skank,Vou Deixar,56
Hoje,Ludmilla,Hoje,60
Aperte o Play,Dream Team do Passinho,De Ladin,58
Músicas Para Churrasco (Vol. 2),Seu Jorge,Motoboy,47
Noite - Single,Silva/Lulu Santos/Don L,Noite,45
