Album,Artist,Song,Popularity
Hotel California (Remastered),Eagles,Life In The Fast Lane,68
Diamond Dogs (30th Anniversary Edition),David Bowie,Rebel Rebel - 1999 Remastered Version,67
Ace of Spades (Deluxe Edition),Motörhead,Ace of Spades,69
In Search Of Space,Hawkwind,Silver Machine - Original Single Version;Live At The Roundhouse London; 1996 Remastered Version,58
Back In Black,AC/DC,Back In Black,79
Boston,Boston,More Than a Feeling,75
The Dark Side Of The Moon (2011 Remastered Version),Pink Floyd,Money - 2011 Remastered Version,64
Kinks (Deluxe Edition),The Kinks,All Day and All of the Night,60
Some Girls,The Rolling Stones,Beast Of Burden - Remastered,64
Led Zeppelin II,Led Zeppelin,Ramble On,70
Combat Rock,The Clash,Should I Stay or Should I Go - Remastered,67
Paranoid (Remastered),Black Sabbath,Iron Man,68
Who's Next (Deluxe Edition),The Who,Won't Get Fooled Again - Original Album Version,55
Greatest Hits,Black Sabbath,Paranoid,56
Dire Straits (Remastered),Dire Straits,Sultans Of Swing,72
Brothers And Sisters (Deluxe Edition),The Allman Brothers Band,Ramblin' Man,58
Eliminator,ZZ Top,Sharp Dressed Man (2008 Remastered LP Version),70
Who Are You (Remastered),The Who,Who Are You,62
Little Queen,Heart,Barracuda,65
Boston,Boston,Peace of Mind,65
Distant Light (Expanded Edition),The Hollies,Long Cool Woman (In A Black Dress) - 1999 Remastered Version,57
The Marshall Tucker Band,The Marshall Tucker Band,Can't You See,64
News Of The World (2011 Remaster),Queen,We Will Rock You - Remastered 2011,71
Out Of Our Heads (Remastered),The Rolling Stones,(I Can't Get No) Satisfaction - Mono Version / Remastered 2002,69
Toys In The Attic,Aerosmith,Sweet Emotion,70
Most Of The Animals,The Animals,The House Of The Rising Sun,71
Are You Experienced,Jimi Hendrix,Hey Joe,66
The Captain And Me,The Doobie Brothers,China Grove,61
Buffalo Springfield,Buffalo Springfield,For What It's Worth,72
Appetite For Destruction,Guns N' Roses,Sweet Child O' Mine,76
Van Halen (Remastered),Van Halen,Runnin' With The Devil - 2015 Remastered Version,59
Ted Nugent,Ted Nugent,Stranglehold,56
Moving Pictures (2011 Remaster),Rush,Tom Sawyer,58
Electric Ladyland,Jimi Hendrix,All Along the Watchtower,74
Led Zeppelin,Led Zeppelin,Good Times Bad Times,69
My Generation (Remastered Mono Version),The Who,My Generation - Original Mono Version,65
Sticky Fingers (Deluxe),The Rolling Stones,Brown Sugar - Remastered,53
Wheels Of Fire (Remastered),Cream,White Room,60
The Yardbirds Story - Pt. 3 - 1965/66 - Big Hits & America Calling,The Yardbirds,Heart Full of Soul,58
Tommy (Remastered 2013 Super Deluxe Edition),The Who,Pinball Wizard,60
Willy And The Poor Boys (40th Anniversary Edition),Creedence Clearwater Revival,Down On The Corner,63
Blowin' Your Mind!,Van Morrison,Brown Eyed Girl,76
Point Of Know Return,Kansas,Dust in the Wind,66
Singles 1968-1971 (International Version),The Rolling Stones,Honky Tonk Women - Mono Version,59
Rumours,Fleetwood Mac,Go Your Own Way,70
The Anthology 1964 - 1971,The Kinks,You Really Got Me (Remastered),63
The Long Versions - Part One,Golden Earring,Radar Love,62
Best of the Doobies,The Doobie Brothers,Black Water (45 Version),60
L.A. Woman,The Doors,Love Her Madly,65
(Pronounced 'Leh-'Nérd 'Skin-'Nérd) [Expanded Edition],Lynyrd Skynyrd,Gimme Three Steps,54
Boston,Boston,Foreplay / Long Time,61
Rumours,Fleetwood Mac,The Chain,60
Rock 'N' Roll Fantasy: The Very Best Of Bad Company,Bad Company,Bad Company - 2015 Remastered Version,61
Willy And The Poor Boys (40th Anniversary Edition),Creedence Clearwater Revival,Fortunate Son,70
American Woman,The Guess Who,American Woman - Remastered,58
Fire And Water (Deluxe Edition),Free,All Right Now,58
You Can't Argue With A Sick Mind,Joe Walsh,Rocky Mountain Way,50
Leftoverture,Kansas,Carry on Wayward Son,67
Dreamboat Annie,Heart,Crazy On You,63
"But Seriously, Folks...",Joe Walsh,Life's Been Good,63
The Game (2011 Remaster),Queen,Another One Bites The Dust - Remastered 2011,73
Agents of Fortune,Blue Öyster Cult,(Don't Fear) The Reaper,64
The Joker,Steve Miller Band,The Joker,63
Tres Hombres [Expanded & Remastered],ZZ Top,La Grange - 2005 Remastered Version,68
Aerosmith's Greatest Hits,Aerosmith,Walk This Way,68
The Anthology 1964 - 1971,The Kinks,Strangers (Remastered),53
The Very Best Of The Moody Blues,The Moody Blues/London Festival Orchestra/Peter Knight,Nights In White Satin - Single Version,59
Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture) (Remastered),Bob Dylan,Knockin' On Heaven's Door - Remastered,69
Disraeli Gears (Remastered),Cream,Sunshine Of Your Love,64
Appetite For Destruction,Guns N' Roses,Welcome To The Jungle,72
Cheap Thrills,Big Brother & The Holding Company/Janis Joplin,Piece of My Heart,62
Pendulum (40th Anniversary Edition),Creedence Clearwater Revival,Have You Ever Seen The Rain?,69
Steppenwolf,Steppenwolf,Born To Be Wild,67
Slowhand 35th Anniversary,Eric Clapton,Cocaine,63
Who's Next (Remastered),The Who,Behind Blue Eyes,59
The Doors,The Doors,Break On Through (To The Other Side),69
Born To Be Wild (Best Of....),Steppenwolf,Magic Carpet Ride,58
Who's Next (Deluxe Edition),The Who,Baba O'Riley - Original Album Version,67
Layla And Other Assorted Love Songs (40th Anniversary / 2010 Remastered),Derek & The Dominos,Layla - 40th Anniversary / 2010 Remastered,58
Escape,Journey,Don't Stop Believin',70
Gold,The Allman Brothers Band,Midnight Rider,54
A Night At The Opera (2011 Remaster),Queen,Bohemian Rhapsody - Remastered 2011,76
Appetite For Destruction,Guns N' Roses,Paradise City,72
Singles 1965-1967,The Rolling Stones,Paint It Black,70
(Pronounced 'Leh-'Nérd 'Skin-'Nérd) [Expanded Edition],Lynyrd Skynyrd,Simple Man,62
"Crosby, Stills & Nash [with Bonus Tracks]","Crosby, Stills & Nash",Suite: Judy Blue Eyes - Remastered,57
Let It Bleed,The Rolling Stones,Gimme Shelter,69
Toys In The Attic,Aerosmith,Toys In The Attic,57
(Pronounced 'Leh-'Nérd 'Skin-'Nérd) [Expanded Edition],Lynyrd Skynyrd,Free Bird,64
Second Helping,Lynyrd Skynyrd,Sweet Home Alabama,73
Green River (40th Anniversary Edition),Creedence Clearwater Revival,Bad Moon Rising,66
Aerosmith,Aerosmith,Dream On,70
Pour Some Sugar On Me (2012),Def Leppard,Pour Some Sugar On Me (2012),73
Are You Experienced,Jimi Hendrix,Purple Haze,67
Born To Run,Bruce Springsteen,Born to Run,69
Eric Clapton (Deluxe Edition),Eric Clapton,Let It Rain,49
Climbing!,Mountain,Mississippi Queen,60
Transformer,Lou Reed,Walk On the Wild Side,71
American Pie,Don McLean,American Pie,61
Toulouse Street,The Doobie Brothers,Listen To The Music,57
